text,category,urgency,task,split,source_dataset,event,language,tweet_id,original_label,source_file,label
Nakakaiyak talaga yung bagong Station ID ng ABS-CBN na para sa Visayas,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-11,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
I saw the video.. patawad but I really want to slap Korina Sanchez with her own slippers,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-12,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Donation from other Countries. Leche wag lang mabulsa ng mga buwaya,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-13,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Napaluha ako bgla while wtchng this new version ng ABS-CBN Christmas Station ID,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-14,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
2013 is a hard year for Visayans--the earthquake and a typhoon that ravaged these areasDevastation and destruction in Samar & Leyte,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-15,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
It`s a long way to rehabilitate the damages of #YolandaPH #Haiyan but it will get,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-16,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
So many things still need to be done to help Tacloban recover from the aftermath of typhoon Yolanda,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-17,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Tangina nakakaluha yung balita sa tv patrol,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-18,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
I pity them so much that I didn't notice tears falling down from my eyes,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-19,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
CEBU!! They need help cooking and packing hard boiled eggs!,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-20,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Yon yong mas active pa tumulong yong mga celebrity kesa sa politician,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-21,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Paulit-ulit pero ang bigat pa din,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-22,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Yung habang pinapanood mo yung TvPatrol yung sa Yolanda.. Bigla nalang tumulo luha mo sa tindi ng nangyare,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-23,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
SUPER ka talaga yolanda sobrang dami mong winasak,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-24,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
@CoconutsManila : This call for help is the saddest >> DOH need volunteer-embalmers,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-25,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Pengeng yero,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-26,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Saka na ang sisihan di natin gusto ang nagyari,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-27,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Bakit nga ba mabagal ang RELIEF OPS ng gobyerno?,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-28,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Missing,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-29,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
I can't explain why everytime I see or hear the situation of Yolanda's victim my tears just fell automatically.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-30,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Hahahaha Grabe na tong paghihikahos sa buhay Gee,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-31,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
I can feel those who haven't eaten any food for days,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-32,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Niyanig ng matinding lindol Nilumpo ni bagyong Yolanda,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-33,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Respect ! What a heart !,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-34,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Here's Why The Philippines' Economic Miracle Is Really A Bubble In Disguise,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-35,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
andami ng nagdonate sa Pilipinas pero bat prang gutom at hirap na hirap prin mga nasalanta ng bagyo.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-36,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
We need more food in Iloilo and the whole Western Visayas region!,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-37,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Sobrang kawawa yung mga na salanta ng #Yolanda wish there was something I could do,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-38,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
The aftershocks are always the worst,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-39,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
exhausted from a run for the victims of typhoon yolanda,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-40,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
the nightmare lives on for Tacloban residents,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-41,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Madami pa ding kailangan ng tulong. So help them God,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-42,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Typhoon Yolanda death toll rises to record 5209,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-43,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Shame on you,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-44,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Nakakaiyak pag napapanood ko ung balita,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-45,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
How come po na ung mga rescue & relief ops ay mbagalpro ung mga media mbilis nkarating dun,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-46,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
hhahaha naalala niyo toh?,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-47,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
MAKE AN EFFORT NOT AN EXCUSE.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-48,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Dulag Leyte (victims of Yolanda): need water food candles and medicine. Contact Dianne Tupaz: 09217296827,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-49,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Donated ng Indonesia nirepak pah t pinalitan ng supot ng dswd yan ang pilipinas eto bah ang sinasbi Niong #bangonpilipinas,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-50,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Tama.. Livelihood for the survivors.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-51,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Grabe naiyak ako sa video,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-52,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Really no one can get much preparation from that disaster,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-53,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
With a typhooneverything went falling down!,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-54,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Sad. --- Yolanda’ death toll: 5936,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-55,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
I see the overwhelming devastation. Day 15 of #YolandaPH,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-56,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
My friend an elementary teacher informed me today that they have not received any relief goods at Pagsulhugon Babatngon Leyte.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-57,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
This is terrible.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-58,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
It's been a month but the pain and despair are still there. You're not alone,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-59,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
rihanna : Navy please keep the people of The Philippines in your prayers!!! I was just there and this truly breaks my heart,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-60,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Nang dahil sa SCANDAL nila baYOLA at miraNDA . . . . . . . . nabuo si YOLANDA. HAHAHAHAHAHA,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-61,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
That was heartwarming I got goosebumps!,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-62,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Salamat sa iyong awa pero mas maganda sana kung may kasamang gawa,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-63,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
shirts are already available in our Intramuros (across Fort Santiago) and NAIA,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-64,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Still recovering. From.. The monster typhoon. YOLANDA,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-65,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Pagtulong gamit ang sariling kakayahan at talento! Saludo kami sayo @javellanajohn ! Bayani ka,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-66,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
I cried :'(((((((,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-67,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Before and after picture of Tacloban,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-68,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
This is heartbreaking,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-69,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
UN: Millions in the Visayas still hungry!,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-70,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
This is how strong Yolanda is,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-71,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Sana yung perang intended para sa mga nasalanta ng bagyo mapunta talaga sakanila hindi sa bulsa ng iba,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-72,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Helping out never felt so good,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-73,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
naiiyak na ako huhuhu,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-74,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Teh lovelife lang problema mo pano naman yung mga nasalanta ng bagyo?? Puwede bawasan mo ang pag-iinarte?,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-75,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Tubig,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-76,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
hindi nila kelangan ng awa kelangan nila ng tulong. WE NEED TO HELP!,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-77,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Tacloban. Grabe to. Grabe to.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-78,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
5235 died.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-79,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
REHABILITASYON hindi Militarisasyon at Demolisyon,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-80,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Heavy news,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-81,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
jgh from somewhere else... grabe ang saya ng caroling nmn... sana ganito rin ang nararamdaman ng mga survivor,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-82,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Yung bibigat nlang ung loob mo at maiiyak ka pa dahil sa mga napapanuod mo sa balitang nasalanta ng bagyo.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-83,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Oh well this christmas is kind of sad and we all probably know why but gora lang!!! There's still 2014!!!,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-84,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Only a hungry person can really understand the pain of hunger!,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-85,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Zoraida: More areas under storm signal #1,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-86,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
VP Jejomar Binay is a clear example that politicians really use a tragedy to boost up their political name. Shame on you Binay.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-87,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
This government must act quickly,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-88,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
